StateNme,code,year,TX.VAL.FUEL.ZS.UN,kane,mie_init_2,mie_target_2,mie_init_4,mie_target_4,v2x_polyarchy,v2x_accountability,v2svstterr,e_gdp,e_gdppc,e_pop,e_pt_coup_attempts,v2ex_hogw,v2svindep,miller,opec,for_priv,dom_for_priv,dom_priv,dom_for_pub,dom_pub,revolutionaryleader,number,nsa,oil production - barrels,hog_right,leader_right,price,price_lagged1,rolling_mean_3,rolling_mean_5,milex,milper,cinc,event_x,log_gdppc,log_gdp,log_pop,troops_yj,prod_yj,right,share,cumulative_mean_share,id,ccode1,hostlev,days,price2023,event_y,tstart,tstop
Syria,652.0,1960.0,,5.0,0.0,0.0,0.0,0.0,0.079,-0.685,94.75,1327.918,2.853,465.446,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,,3.0,0.0,,0.0,0.0,19.57507789084856,,,,,,,,1.048371072231363,7.1913675811420035,6.142996085691648,0.029335942094017995,,0.0,,0.10946666666666668,,,,,,,,
Venezuela,101.0,1960.0,,99.0,0.0,0.0,0.0,0.0,0.649,1.023,90.0,7141.184,8.655,825.358,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,0.0,0.0,19.57507789084856,,,,161194.0,23.0,0.006192124,,2.1581371886281726,8.873633867916496,6.7158172316041505,1.107520352727861,,0.0,,0.19805312499999997,,,,,,,,
Yemen People's Republic,680.0,1960.0,,0.0,0.0,0.0,0.0,0.0,0.02,-1.254,69.0,788.823,1.316,599.545,0.0,0.0,1.0,0.0,0.0,,,,,,,0.0,0.0,,,,19.57507789084856,,,,,,,,0.2745968329031255,6.670541961078343,6.396171034202643,-1.125178511956645,,,,,,,,,,,,
Congo,484.0,1961.0,,0.0,0.0,0.0,0.0,0.0,0.307,0.185,76.6,164.987,1.538,107.27,0.0,0.0,1.0,0.0,0.0,,,,,,0.0,2.0,0.0,,1.0,1.0,18.3483504416526,19.57507789084856,,,2000.0,0.0,0.00010358015,,0.43048287108345223,5.105866682917865,4.675349020609338,-1.125178511956645,,1.0,,0.38333333333333336,,,,,,,,
Gabon,481.0,1961.0,,0.0,0.0,0.0,0.0,0.0,0.214,-0.386,86.714,228.054,4.593,49.664,0.0,0.0,1.0,0.0,0.0,,,,,,0.0,2.0,0.0,,1.0,1.0,18.3483504416526,19.57507789084856,,,1000.0,0.0,3.1010386e-05,,1.5245334053436563,5.42958244301704,3.9052803245607537,-1.125178511956645,,1.0,,,,,,,,,,
Iran,630.0,1961.0,,679.0,0.0,1.0,0.0,1.0,0.063,-0.932,96.0,8871.972,3.763,2358.139,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,,1.0,1.0,18.3483504416526,19.57507789084856,,,184797.0,185.0,0.0059514334,,1.3252165116113002,9.09065237302883,7.765628027621174,1.529817391933172,,1.0,1.0,1.0,,,,,,,,
Iraq,645.0,1961.0,,21.0,6.0,12.0,1.0,0.0,0.093,-0.478,89.0,5360.605,6.987,767.061,0.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,,0.0,0.0,18.3483504416526,19.57507789084856,,,125455.0,90.0,0.0021218045,,1.9440512795703135,8.586832120829483,6.642566328843715,0.613977927506436,,0.0,,0.29036666666666666,,,,,,,,
Kuwait,690.0,1961.0,,0.0,2.0,5.0,0.0,0.0,0.183,0.291,93.333,1553.094,46.524,33.379,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,1.0,1.0,18.3483504416526,19.57507789084856,,,17000.0,1.0,0.00068053056,,3.8399683084767924,7.348004349327244,3.5079269597262197,-1.125178511956645,,1.0,,1.0,,,,,,,,
Laos,812.0,1961.0,,185.0,3.0,1.0,2.0,0.0,0.22,-0.164,55.0,189.109,0.783,241.482,0.0,0.5,1.0,0.0,0.0,,,,,,0.0,0.0,1.0,,1.0,1.0,18.3483504416526,19.57507789084856,,,8000.0,55.0,0.00066482491,,-0.2446225829913339,5.2423235683975395,5.486794936153328,1.2650809076152916,,1.0,,,,,,,,,,
Libya,620.0,1961.0,,3809.0,0.0,0.0,0.0,0.0,0.108,-0.358,88.167,618.552,4.04,153.128,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,0.0,1.0,18.3483504416526,19.57507789084856,,,5041.0,8.0,0.00024729309,,1.3962446919730587,6.427381262671974,5.031274172943808,1.77914811500722,,1.0,0.0,0.75,,,,,,,,
Nigeria,475.0,1961.0,,2.0,0.0,0.0,0.0,0.0,0.251,0.345,77.333,9285.196,1.968,4720.181,0.0,0.0,1.0,1.0,0.0,,,,,,0.0,1.0,0.0,,1.0,1.0,18.3483504416526,19.57507789084856,,,23243.0,6.0,0.0041199299,,0.6770177986300616,9.13617658288011,8.459602425301982,-0.3618909283587072,,1.0,0.45,0.5666666666666667,,,,,,,,
Oman,698.0,1961.0,,0.0,0.0,0.0,0.0,0.0,0.008,-1.658,81.714,137.78,2.183,63.125,0.0,0.0,1.0,0.0,0.0,,,,,,0.0,0.0,0.0,,1.0,1.0,18.3483504416526,19.57507789084856,,,,,,,0.7807000775678068,4.92565821016505,4.145116887595524,-1.125178511956645,,1.0,,1.0,,,,,,,,
Saudi Arabia,670.0,1961.0,,1307.0,2.0,0.0,0.0,0.0,0.014,-1.3,91.6,4305.076,8.842,486.884,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,,1.0,1.0,18.3483504416526,19.57507789084856,,,58916.0,35.0,0.0015025225,,2.1795130954040514,8.367550070596828,6.188025901691647,1.6362562461697543,,1.0,,1.0,,,,,,,,
Syria,652.0,1961.0,,5.0,3.0,0.0,3.0,0.0,0.096,-0.254,94.75,1367.931,2.842,481.445,1.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,1.0,1.0,18.3483504416526,19.57507789084856,,,72905.0,52.0,0.0012333447,,1.044508029674909,7.2210546583139354,6.176791998337943,0.029335942094017995,,1.0,,0.10946666666666668,,,,,,,,
Syria,652.0,1961.0,,5.0,3.0,0.0,3.0,0.0,0.096,-0.254,94.75,1367.931,2.842,481.445,1.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,1.0,1.0,18.3483504416526,19.57507789084856,,,72905.0,52.0,0.0012333447,,1.044508029674909,7.2210546583139354,6.176791998337943,0.029335942094017995,,1.0,,0.10946666666666668,,,,,,,,
Venezuela,101.0,1961.0,,93.0,0.0,0.0,0.0,0.0,0.671,1.067,90.0,7414.787,8.691,853.346,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,0.0,0.0,18.3483504416526,19.57507789084856,,,159104.0,21.0,0.006247336,,2.1622880074553232,8.91123152860314,6.749165092445331,1.090541397882025,,0.0,,0.19805312499999997,,,,,,,,
Yemen People's Republic,680.0,1961.0,,0.0,0.0,0.0,0.0,0.0,0.02,-1.257,69.0,805.499,1.324,608.581,0.0,0.0,1.0,0.0,0.0,,,,,,,0.0,0.0,,,,18.3483504416526,19.57507789084856,,,,,,,0.2806574575148165,6.6914619611513295,6.411130017783955,-1.125178511956645,,,,,,,,,,,,
Algeria,615.0,1962.0,,5.0,4.0,3.0,2.0,3.0,0.078,-0.62,58.0,5168.619,4.213,1227.356,0.0,0.0,1.0,1.0,0.0,,,,,,0.0,1.0,0.0,,0.0,0.0,18.13100089825457,18.3483504416526,18.684809743585244,,65000.0,45.0,0.0014730149,5.0,1.4381749829968795,8.550360813831716,7.112617541178169,0.029335942094017995,,0.0,1.0,0.9299999999999999,,,,,,,,
Congo,484.0,1962.0,7.5625948232792,0.0,0.0,0.0,0.0,0.0,0.292,0.17,76.6,174.343,1.584,110.076,0.0,0.0,1.0,0.0,0.0,,,,,,0.0,2.0,0.0,,1.0,1.0,18.13100089825457,18.3483504416526,18.684809743585244,,4335.0,1.0,0.00012036351,,0.4599532933922342,5.16102462319034,4.701171036315519,-1.125178511956645,,1.0,,0.38333333333333336,,,,,,,,
Gabon,481.0,1962.0,17.440686165076723,0.0,0.0,0.0,0.0,0.0,0.213,-0.383,86.714,246.131,4.843,50.837,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,1.0,1.0,18.13100089825457,18.3483504416526,18.684809743585244,,1503.0,0.0,2.9290966e-05,,1.577534363421092,5.505863914518935,3.9286244359255718,-1.125178511956645,,1.0,,,,,,,,,,
Iran,630.0,1962.0,,678.0,0.0,0.0,0.0,0.0,0.061,-0.968,96.0,9410.019,3.883,2423.556,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,,1.0,1.0,18.13100089825457,18.3483504416526,18.684809743585244,,187063.0,200.0,0.0060580829,,1.3566080507495302,9.149530251705974,7.792991162095008,1.5295594146700655,,1.0,1.0,1.0,,,,,,,,
Iraq,645.0,1962.0,,18.0,16.0,9.0,9.0,2.0,0.093,-0.491,89.0,5707.696,7.2,792.66,0.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,,0.0,0.0,18.13100089825457,18.3483504416526,18.684809743585244,,134976.0,91.0,0.0021010581,11.0,1.9740810260220096,8.649570718593996,6.675394378118318,0.5564169555615228,,0.0,,0.29036666666666666,,,,,,,,
Kuwait,690.0,1962.0,,0.0,0.0,0.0,0.0,0.0,0.195,0.436,98.333,1684.106,45.632,36.918,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,1.0,1.0,18.13100089825457,18.3483504416526,18.684809743585244,,19000.0,1.0,0.00080688257,,3.8206092247918306,7.428990138189467,3.6086992369864084,-1.125178511956645,,1.0,1.0,1.0,,,,,,,,
Laos,812.0,1962.0,491.6592996303791,287.0,12.0,13.0,10.0,12.0,0.22,-0.153,55.0,195.049,0.792,246.253,0.0,0.5,1.0,0.0,0.0,,,,,,0.0,0.0,1.0,,1.0,1.0,18.13100089825457,18.3483504416526,18.684809743585244,,28500.0,60.0,0.00070847408,22.0,-0.23319388716771114,5.2732508090489825,5.506359462719106,1.3633226862960515,,1.0,,,,,,,,,,
Libya,620.0,1962.0,95.81962107475972,3884.0,0.0,0.0,0.0,0.0,0.108,-0.356,88.167,781.812,4.909,159.257,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,0.0,1.0,18.13100089825457,18.3483504416526,18.684809743585244,,11761.0,8.0,0.00025126379,,1.5910702550759155,6.661614302435224,5.07051924953019,1.7814409554965132,,1.0,0.0,0.6923076923076923,,,,,,,,
Nigeria,475.0,1962.0,10.298882573345146,3.0,0.0,0.0,0.0,0.0,0.251,0.354,77.333,9681.85,2.004,4832.549,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,18.13100089825457,18.3483504416526,18.684809743585244,,31924.0,7.0,0.004083829,,0.6951451832226183,9.178008277712824,8.483129350710335,-0.19191070621868872,,1.0,0.0,0.48125,,,,,,,,
Oman,698.0,1962.0,,0.0,0.0,0.0,0.0,0.0,0.008,-1.659,81.714,148.788,2.316,64.234,0.0,0.0,1.0,0.0,0.0,,,,,,0.0,0.0,0.0,,1.0,1.0,18.13100089825457,18.3483504416526,18.684809743585244,,,,,,0.8398415597107487,5.002522473985706,4.162532665525544,-1.125178511956645,,1.0,1.0,1.0,,,,,,,,
Saudi Arabia,670.0,1962.0,,299.0,7.0,20.0,1.0,7.0,0.014,-1.305,93.2,4724.845,9.517,496.396,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,1.0,1.0,18.13100089825457,18.3483504416526,18.684809743585244,,71456.0,37.0,0.0015495977,8.0,2.2530796730902063,8.460590035156969,6.207373995280259,1.3720007875576536,,1.0,,1.0,,,,,,,,
Syria,652.0,1962.0,,8.0,46.0,12.0,36.0,5.0,0.264,-0.163,95.25,1511.78,3.017,501.278,1.0,0.5,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,1.0,18.13100089825457,18.3483504416526,18.684809743585244,,77933.0,54.0,0.0012290971,41.0,1.104262960176924,7.321043043507439,6.217160837409775,0.23087061194390485,,1.0,,0.10946666666666668,,,,,,,,
Syria,652.0,1962.0,,8.0,46.0,12.0,36.0,5.0,0.264,-0.163,95.25,1511.78,3.017,501.278,1.0,0.5,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,1.0,18.13100089825457,18.3483504416526,18.684809743585244,,77933.0,54.0,0.0012290971,41.0,1.104262960176924,7.321043043507439,6.217160837409775,0.23087061194390485,,1.0,,0.10946666666666668,,,,,,,,
Trinidad and Tobago,52.0,1962.0,,0.0,0.0,0.0,0.0,0.0,0.533,0.797,96.667,862.538,9.25,93.278,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,18.13100089825457,18.3483504416526,18.684809743585244,,0.0,1.0,0.00091603666,,2.224623551524334,6.759879205906006,4.535584281548997,-1.125178511956645,,0.0,,0.016666666666666666,,,,,,,,
Venezuela,101.0,1962.0,92.36292793517087,88.0,0.0,0.0,0.0,0.0,0.658,1.062,90.0,7870.466,8.873,887.105,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,0.0,0.0,18.13100089825457,18.3483504416526,18.684809743585244,,151940.0,23.0,0.0064961105,,2.1830129578532005,8.970872551856697,6.787963351853798,1.0753403686871077,,0.0,,0.19805312499999997,,,,,,,,
Yemen People's Republic,680.0,1962.0,,0.0,0.0,0.0,0.0,0.0,0.019,-1.268,69.0,823.944,1.332,618.627,1.0,0.0,1.0,0.0,0.0,,,,,,,0.0,1.0,,,,18.13100089825457,18.3483504416526,18.684809743585244,,,,,,0.28668157211819745,6.714102566434958,6.427502506243183,-1.125178511956645,,,,,,,,,,,,
Algeria,615.0,1963.0,,13.0,6.0,17.0,2.0,11.0,0.192,-0.698,76.0,5672.428,4.487,1264.412,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,17.90898871691744,18.13100089825457,18.129446685608205,,79400.0,70.0,0.0016851829,13.0,1.5011843269938463,8.643372523757224,7.142362470963937,0.43009352273168727,,0.0,,0.9299999999999999,,,,,,,,
Congo,484.0,1963.0,3.4904139165607617,10.0,0.0,0.0,0.0,0.0,0.229,0.107,76.6,181.097,1.607,112.704,1.0,0.0,1.0,0.0,0.0,,,,,,0.0,2.0,0.0,,0.0,0.0,17.90898871691744,18.13100089825457,18.129446685608205,,4000.0,2.0,0.00012499793,,0.47436908675537554,5.199032799318697,4.724764912873741,0.323867648988448,,0.0,,0.38333333333333336,,,,,,,,
Gabon,481.0,1963.0,14.512832154239128,0.0,0.0,0.0,0.0,0.0,0.213,-0.377,86.714,269.604,5.187,51.983,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,1.0,1.0,17.90898871691744,18.13100089825457,18.129446685608205,,2504.0,1.0,3.7385922e-05,,1.6461554953692632,5.59695421572334,3.950916742053505,-1.125178511956645,,1.0,,,,,,,,,,
Iran,630.0,1963.0,86.58671154008091,624.0,0.0,4.0,0.0,1.0,0.061,-0.903,96.0,10030.282,4.05,2477.138,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,,1.0,1.0,17.90898871691744,18.13100089825457,18.129446685608205,,191010.0,200.0,0.0059970445,,1.3987168811184478,9.213363996213785,7.814859140492984,1.5148908703553368,,1.0,1.0,1.0,,,,,,,,
Iraq,645.0,1963.0,93.97647448199196,18.0,0.0,0.0,0.0,0.0,0.07,-0.819,89.0,5983.733,7.321,817.426,2.0,0.5,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,,0.0,0.0,17.90898871691744,18.13100089825457,18.129446685608205,,163260.0,80.0,0.0020268171,,1.9907469306645056,8.6967998996749,6.706160378796561,0.5564169555615228,,0.0,,0.29036666666666666,,,,,,,,
Kuwait,690.0,1963.0,,0.0,0.0,0.0,0.0,0.0,0.227,0.556,98.333,1820.279,44.378,41.027,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,1.0,1.0,17.90898871691744,18.13100089825457,18.129446685608205,,22000.0,2.0,0.00083052437,,3.7927438511442246,7.506745065025399,3.7142303865496054,-1.125178511956645,,1.0,,1.0,,,,,,,,
Laos,812.0,1963.0,722.762782553816,99.0,2.0,1.0,2.0,1.0,0.218,-0.15,58.8,201.688,0.8,252.066,0.0,0.5,1.0,0.0,0.0,,,,,,0.0,0.0,1.0,,1.0,1.0,17.90898871691744,18.13100089825457,18.129446685608205,,39300.0,83.0,0.00087765796,3.0,-0.2231435513142097,5.306721948891847,5.529690957982263,1.107520352727861,,1.0,,,,,,,,,,
Libya,620.0,1963.0,98.71746417773105,3586.0,0.0,0.0,0.0,0.0,0.139,-0.354,88.167,1007.663,6.097,165.256,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,0.0,1.0,17.90898871691744,18.13100089825457,18.129446685608205,,13162.0,13.0,0.00029882914,,1.807796846925679,6.915389067335294,5.107495786695951,1.7719886618339518,,1.0,,0.6923076923076923,,,,,,,,
Nigeria,475.0,1963.0,10.990462061033613,9.0,0.0,0.0,0.0,0.0,0.251,0.342,77.333,10259.445,2.069,4958.296,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,17.90898871691744,18.13100089825457,18.129446685608205,,42565.0,25.0,0.0042166966,,0.7270653987634059,9.235954023694399,8.50881741230561,0.28023324246145764,,1.0,0.6,0.49444444444444446,,,,,,,,
Oman,698.0,1963.0,,0.0,0.0,0.0,0.0,0.0,0.008,-1.643,83.143,158.138,2.404,65.787,0.0,0.0,1.0,0.0,0.0,,,,,,0.0,0.0,0.0,,1.0,1.0,17.90898871691744,18.13100089825457,18.129446685608205,,,,,,0.8771340166729611,5.06346806954118,4.186422250423009,-1.125178511956645,,1.0,,1.0,,,,,,,,
Saudi Arabia,670.0,1963.0,,315.0,4.0,23.0,1.0,17.0,0.014,-1.299,93.2,5227.563,10.254,509.835,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,1.0,1.0,17.90898871691744,18.13100089825457,18.129446685608205,,93186.0,35.0,0.0014774745,18.0,2.327667873361509,8.561700482880097,6.234087143959676,1.3829293137525058,,1.0,,1.0,,,,,,,,
Syria,652.0,1963.0,,9.0,31.0,7.0,16.0,3.0,0.16,-0.411,95.25,1531.807,2.987,512.888,2.0,0.5,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,0.0,0.0,17.90898871691744,18.13100089825457,18.129446685608205,,77749.0,75.0,0.0013810161,19.0,1.0942695392339727,7.3342033632522305,6.240057497747961,0.28023324246145764,,0.0,,0.10946666666666668,,,,,,,,
Syria,652.0,1963.0,,9.0,31.0,7.0,16.0,3.0,0.16,-0.411,95.25,1531.807,2.987,512.888,2.0,0.5,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,0.0,0.0,17.90898871691744,18.13100089825457,18.129446685608205,,77749.0,75.0,0.0013810161,19.0,1.0942695392339727,7.3342033632522305,6.240057497747961,0.28023324246145764,,0.0,,0.10946666666666668,,,,,,,,
Trinidad and Tobago,52.0,1963.0,,237.0,0.0,0.0,0.0,0.0,0.551,0.836,96.667,916.774,9.623,95.293,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,17.90898871691744,18.13100089825457,18.129446685608205,,1930.0,1.0,0.00089916703,,2.2641560663742637,6.820860986046993,4.556956355706374,1.3216874314749312,,0.0,,0.016666666666666666,,,,,,,,
Venezuela,101.0,1963.0,92.91118954270334,109.0,0.0,0.0,0.0,0.0,0.656,1.012,90.0,8386.584,9.127,918.977,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,0.0,0.0,17.90898871691744,18.13100089825457,18.129446685608205,,182985.0,35.0,0.0065675732,,2.2112370535347403,9.034388565181949,6.823261094839019,1.1332054816378934,,0.0,,0.19805312499999997,,,,,,,,
Yemen People's Republic,680.0,1963.0,,0.0,0.0,0.0,0.0,0.0,0.026,-1.019,70.0,843.507,1.342,628.832,0.0,0.0,1.0,0.0,0.0,,,,,,,0.0,1.0,,,,17.90898871691744,18.13100089825457,18.129446685608205,,,,,,0.2941610385494901,6.737568200706775,6.443864130405356,-1.125178511956645,,,,,,,,,,,,
Algeria,615.0,1964.0,,10.0,0.0,0.0,0.0,0.0,0.187,-0.724,76.0,6109.636,4.69,1303.146,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,17.682840744692676,17.90898871691744,17.907610119954896,18.329251738473168,99251.0,65.0,0.0017614211,,1.545432582458188,8.717622475922926,7.172536619965233,0.323867648988448,,0.0,,0.9299999999999999,,,,,,,,
Congo,484.0,1964.0,3.1794887539743266,10.0,0.0,0.0,0.0,0.0,0.131,-0.393,76.6,188.57,1.633,115.489,0.0,0.0,1.0,0.0,0.0,,,,,,0.0,2.0,0.0,,0.0,0.0,17.682840744692676,17.90898871691744,17.907610119954896,18.329251738473168,5003.0,2.0,0.00012339435,,0.49041881398832804,5.239469290738831,4.749175287331175,0.323867648988448,,0.0,,0.38333333333333336,,,,,,,,
Gabon,481.0,1964.0,14.070275354659614,0.0,0.0,2.0,0.0,2.0,0.14,-0.377,86.714,289.701,5.461,53.061,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,1.0,1.0,17.682840744692676,17.90898871691744,17.907610119954896,18.329251738473168,2001.0,1.0,3.6019523e-05,,1.6976319231700168,5.668849356616085,3.9714421951207663,-1.125178511956645,,1.0,,,,,,,,,,
Iran,630.0,1964.0,87.99886737551343,610.0,0.0,0.0,0.0,0.0,0.11,-0.885,96.0,10869.879,4.279,2540.493,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,,1.0,1.0,17.682840744692676,17.90898871691744,17.907610119954896,18.329251738473168,218125.0,200.0,0.0060629882,,1.4537193374346797,9.293750848498561,7.840113435666873,1.5108318790599802,,1.0,1.0,1.0,,,,,,,,
